state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2
Tamil Nadu,2026(upto June),5690201.0,102.0,50.0,2.0,True,2026,False,False,0.0017925553069214953,49.01960784313725,1.9607843137254901,0.5179963697839085,,,
Telangana,2022,4952745.0,611.0,540.0,0.0,False,2022,False,False,0.012336593141782991,88.379705400982,0.0,1.110701687438508,,,
Telangana,2023,4868195.0,420.0,368.0,0.0,False,2023,False,False,0.008627427619477034,87.61904761904762,0.0,1.0917405199096073,611.0,-31.260229132569556,
Telangana,2024,5081050.0,269.0,231.0,0.0,False,2024,False,False,0.005294181320789995,85.87360594795538,0.0,1.1394753432610465,420.0,-35.95238095238095,515.5
Telangana,2025,5288213.0,259.0,191.0,0.0,False,2025,False,False,0.004897684718826568,73.74517374517374,0.0,1.1859336797340172,269.0,-3.717472118959108,344.5
Telangana,2026(upto June),2105365.0,55.0,45.0,0.0,True,2026,False,False,0.0026123736264258217,81.81818181818183,0.0,0.4721487696568215,,,
The Dadra And Nagar Haveli And Daman And Diu,2022,131198.0,111.0,16.0,0.0,False,2022,False,False,0.0846049482461623,14.414414414414415,0.0,1.0643227413218246,,,
The Dadra And Nagar Haveli And Daman And Diu,2023,146190.0,128.0,36.0,1.0,False,2023,False,False,0.087557288460223,28.125,0.78125,1.1859429378026918,111.0,15.315315315315313,
The Dadra And Nagar Haveli And Daman And Diu,2024,129983.0,207.0,29.0,0.0,False,2024,False,False,0.15925159443927284,14.009661835748794,0.0,1.0544662486107619,128.0,61.71875,119.5
The Dadra And Nagar Haveli And Daman And Diu,2025,130760.0,212.0,48.0,0.0,False,2025,False,False,0.1621290914652799,22.641509433962266,0.0,1.060769536542034,207.0,2.4154589371980677,167.5
The Dadra And Nagar Haveli And Daman And Diu,2026(upto June),78214.0,57.0,8.0,0.0,True,2026,False,False,0.07287697854604035,14.035087719298245,0.0,0.6344985357226878,,,
Tripura,2022,1181946.0,12771.0,9374.0,3.0,False,2022,False,False,1.0805062160200212,73.4006734006734,0.02349072116513977,1.133727438320779,,,
Tripura,2023,1584800.0,22412.0,12413.0,1.0,False,2023,False,False,1.4141847551741544,55.385507763698016,0.004461895413171515,1.5201466431214037,12771.0,75.49134758437084,
Tripura,2024,1185735.0,9738.0,4801.0,0.0,False,2024,False,False,0.8212627610722464,49.30170466214828,0.0,1.1373618626208717,22412.0,-56.55006246653579,17591.5
Tripura,2025,864631.0,6094.0,3644.0,0.0,False,2025,False,False,0.7048093348492016,59.796521168362325,0.0,0.8293575922442594,9738.0,-37.42041486958308,16075.0
Tripura,2026(upto June),395543.0,2520.0,1294.0,0.0,True,2026,False,False,0.6370988742058386,51.34920634920634,0.0,0.3794064636926864,,,
Uttar Pradesh,2022,8322741.0,7039.0,503.0,0.0,False,2022,False,False,0.08457550222937371,7.14590140644978,0.0,0.695441970091739,,,
Uttar Pradesh,2023,10672898.0,13603.0,1305.0,0.0,False,2023,False,False,0.12745366816023165,9.593472028229067,0.0,0.8918193191051098,7039.0,93.25188236965478,
